[  853.744227] tgid, 1870, delta_vrun, 29537, delta_rrun, 275418, prio, 110
[  853.872334] tgid, 1870, delta_vrun, 82902, delta_rrun, 773002, prio, 110
[  854.261087] tgid, 1870, delta_vrun, 58542, delta_rrun, 545865, prio, 110
[  854.282970] tgid, 1870, delta_vrun, 342, delta_rrun, 3195, prio, 110
[  854.604037] tgid, 1870, delta_vrun, 33134, delta_rrun, 308953, prio, 110
[  854.892721] tgid, 1870, delta_vrun, 95260, delta_rrun, 888226, prio, 110
[  854.996496] tgid, 1870, delta_vrun, 194, delta_rrun, 1812, prio, 110
[  855.434311] tgid, 1870, delta_vrun, 441, delta_rrun, 4119, prio, 110
[  855.477854] tgid, 1870, delta_vrun, 521, delta_rrun, 4864, prio, 110
[  856.003410] tgid, 1870, delta_vrun, 4179, delta_rrun, 38966, prio, 110
[  856.016199] tgid, 1870, delta_vrun, 49746, delta_rrun, 463846, prio, 110
[  856.027436] tgid, 1870, delta_vrun, 26167, delta_rrun, 243991, prio, 110
[  856.313623] tgid, 1870, delta_vrun, 1791, delta_rrun, 16700, prio, 110
[  856.353109] tgid, 1870, delta_vrun, 206, delta_rrun, 1925, prio, 110
[  856.629984] tgid, 1870, delta_vrun, 11463, delta_rrun, 106885, prio, 110
[  856.693745] tgid, 1870, delta_vrun, 6093, delta_rrun, 56814, prio, 110
[  857.092179] tgid, 1870, delta_vrun, 12450, delta_rrun, 116090, prio, 110
[  857.138435] tgid, 1870, delta_vrun, 44067, delta_rrun, 410897, prio, 110
[  857.441248] tgid, 1870, delta_vrun, 42276, delta_rrun, 394196, prio, 110
[  857.744668] tgid, 1870, delta_vrun, 57419, delta_rrun, 535393, prio, 110
[  857.774264] tgid, 1870, delta_vrun, 763, delta_rrun, 7122, prio, 110
[  857.974190] tgid, 1870, delta_vrun, 64236, delta_rrun, 598955, prio, 110
[  857.985995] tgid, 1870, delta_vrun, 85126, delta_rrun, 793734, prio, 110
[  858.081776] tgid, 1870, delta_vrun, 16969, delta_rrun, 158228, prio, 110
[  858.277874] tgid, 1870, delta_vrun, 35311, delta_rrun, 329253, prio, 110
[  858.322932] tgid, 1870, delta_vrun, 868, delta_rrun, 8100, prio, 110
[  858.362440] tgid, 1870, delta_vrun, 939, delta_rrun, 8757, prio, 110
[  858.363809] tgid, 1870, delta_vrun, 420, delta_rrun, 3917, prio, 110
[  858.421286] tgid, 1870, delta_vrun, 167, delta_rrun, 1565, prio, 110
[  858.553038] tgid, 1870, delta_vrun, 16430, delta_rrun, 153206, prio, 110
[  858.723775] tgid, 1870, delta_vrun, 754, delta_rrun, 7036, prio, 110
[  858.750735] tgid, 1870, delta_vrun, 50401, delta_rrun, 469952, prio, 110
[  858.753098] tgid, 1870, delta_vrun, 25095, delta_rrun, 233997, prio, 110
[  858.932711] tgid, 1870, delta_vrun, 765, delta_rrun, 7135, prio, 110
[  858.967130] tgid, 1870, delta_vrun, 9976, delta_rrun, 93019, prio, 110
[  858.976209] tgid, 1870, delta_vrun, 42055, delta_rrun, 392136, prio, 110
[  859.307401] tgid, 1870, delta_vrun, 17453, delta_rrun, 162743, prio, 110
[  859.471384] tgid, 1870, delta_vrun, 70890, delta_rrun, 661000, prio, 110
[  859.554819] tgid, 1870, delta_vrun, 29802, delta_rrun, 277887, prio, 110
[  859.914416] tgid, 1870, delta_vrun, 6955, delta_rrun, 64854, prio, 110
[  860.025076] tgid, 1870, delta_vrun, 18605, delta_rrun, 173485, prio, 110
[  860.375285] tgid, 1870, delta_vrun, 65062, delta_rrun, 606656, prio, 110
[  860.964677] tgid, 1870, delta_vrun, 5468, delta_rrun, 50988, prio, 110
[  861.296538] tgid, 1870, delta_vrun, 44594, delta_rrun, 415810, prio, 110
[  861.322148] tgid, 1870, delta_vrun, 968, delta_rrun, 9028, prio, 110
[  861.720045] tgid, 1870, delta_vrun, 24047, delta_rrun, 224228, prio, 110
[  861.815451] tgid, 1870, delta_vrun, 373, delta_rrun, 3487, prio, 110
[  861.922144] tgid, 1870, delta_vrun, 18830, delta_rrun, 175576, prio, 110
[  862.227014] tgid, 1870, delta_vrun, 11384, delta_rrun, 106155, prio, 110
[  862.249563] tgid, 1870, delta_vrun, 11028, delta_rrun, 102831, prio, 110
[  862.385469] tgid, 1870, delta_vrun, 13619, delta_rrun, 126987, prio, 110
[  863.126303] tgid, 1870, delta_vrun, 26857, delta_rrun, 250424, prio, 110
[  863.198876] tgid, 1870, delta_vrun, 18717, delta_rrun, 174526, prio, 110
[  863.334610] tgid, 1870, delta_vrun, 443, delta_rrun, 4133, prio, 110
[  863.580705] tgid, 1870, delta_vrun, 12499, delta_rrun, 116549, prio, 110
[  863.590782] tgid, 1870, delta_vrun, 63, delta_rrun, 594, prio, 110
[  863.602294] tgid, 1870, delta_vrun, 18173, delta_rrun, 169452, prio, 110
[  863.770617] tgid, 1870, delta_vrun, 52036, delta_rrun, 485203, prio, 110
[  863.935587] tgid, 1870, delta_vrun, 5040, delta_rrun, 46998, prio, 110
[  863.990820] tgid, 1870, delta_vrun, 75416, delta_rrun, 703198, prio, 110
[  864.095590] tgid, 1870, delta_vrun, 62305, delta_rrun, 580954, prio, 110
[  864.967754] tgid, 1870, delta_vrun, 42374, delta_rrun, 395110, prio, 110
[  865.067702] tgid, 1870, delta_vrun, 718, delta_rrun, 6704, prio, 110
[  865.158152] tgid, 1870, delta_vrun, 12378, delta_rrun, 115416, prio, 110
[  865.249539] tgid, 1870, delta_vrun, 6664, delta_rrun, 62141, prio, 110
[  865.402791] tgid, 1870, delta_vrun, 450, delta_rrun, 4202, prio, 110
[  865.442093] tgid, 1870, delta_vrun, 36425, delta_rrun, 339635, prio, 110
[  865.465767] tgid, 1870, delta_vrun, 269, delta_rrun, 2510, prio, 110
[  865.546511] tgid, 1870, delta_vrun, 32743, delta_rrun, 305306, prio, 110
[  865.569216] tgid, 1870, delta_vrun, 42079, delta_rrun, 392355, prio, 110
[  865.819787] tgid, 1870, delta_vrun, 17104, delta_rrun, 159488, prio, 110
[  866.243424] tgid, 1870, delta_vrun, 32477, delta_rrun, 302831, prio, 110
[  866.625700] tgid, 1870, delta_vrun, 26182, delta_rrun, 244134, prio, 110
[  866.879228] tgid, 1870, delta_vrun, 202, delta_rrun, 1884, prio, 110
[  867.108847] tgid, 1870, delta_vrun, 29736, delta_rrun, 277268, prio, 110
[  867.116256] tgid, 1870, delta_vrun, 49292, delta_rrun, 459616, prio, 110
[  867.127307] tgid, 1870, delta_vrun, 33834, delta_rrun, 315483, prio, 110
[  867.367082] tgid, 1870, delta_vrun, 18918, delta_rrun, 176400, prio, 110
[  867.410801] tgid, 1870, delta_vrun, 31038, delta_rrun, 289410, prio, 110
[  867.424723] tgid, 1870, delta_vrun, 755, delta_rrun, 7044, prio, 110
[  867.685089] tgid, 1870, delta_vrun, 22263, delta_rrun, 207588, prio, 110
[  867.714135] tgid, 1870, delta_vrun, 11040, delta_rrun, 102941, prio, 110
[  868.051580] tgid, 1870, delta_vrun, 413, delta_rrun, 3856, prio, 110
[  868.122715] tgid, 1870, delta_vrun, 21315, delta_rrun, 198751, prio, 110
[  868.212021] tgid, 1870, delta_vrun, 17389, delta_rrun, 162141, prio, 110
[  868.325994] tgid, 1870, delta_vrun, 213, delta_rrun, 1987, prio, 110
[  868.426432] tgid, 1870, delta_vrun, 18190, delta_rrun, 169612, prio, 110
[  868.510333] tgid, 1870, delta_vrun, 767, delta_rrun, 7153, prio, 110
[  868.575565] tgid, 1870, delta_vrun, 29953, delta_rrun, 279290, prio, 110
[  869.255253] tgid, 1870, delta_vrun, 48787, delta_rrun, 454904, prio, 110
[  869.498788] tgid, 1870, delta_vrun, 585, delta_rrun, 5463, prio, 110
[  869.613801] tgid, 1870, delta_vrun, 16501, delta_rrun, 153868, prio, 110
[  869.778229] tgid, 1870, delta_vrun, 398, delta_rrun, 3717, prio, 110
[  869.882988] tgid, 1870, delta_vrun, 125, delta_rrun, 1174, prio, 110
[  870.013367] tgid, 1870, delta_vrun, 121, delta_rrun, 1131, prio, 110
[  870.317214] tgid, 1870, delta_vrun, 101450, delta_rrun, 945946, prio, 110
[  870.362017] tgid, 1870, delta_vrun, 4118, delta_rrun, 38405, prio, 110
[  870.403875] tgid, 1870, delta_vrun, 8933, delta_rrun, 83294, prio, 110
[  870.816229] tgid, 1870, delta_vrun, 8678, delta_rrun, 80921, prio, 110
[  871.180287] tgid, 1870, delta_vrun, 19172, delta_rrun, 178767, prio, 110
[  871.407474] tgid, 1870, delta_vrun, 324, delta_rrun, 3026, prio, 110
[  871.453358] tgid, 1870, delta_vrun, 541, delta_rrun, 5051, prio, 110
[  871.662770] tgid, 1870, delta_vrun, 20619, delta_rrun, 192261, prio, 110
[  872.805583] tgid, 1870, delta_vrun, 180463, delta_rrun, 1682680, prio, 110
[  873.012584] tgid, 1870, delta_vrun, 18097, delta_rrun, 168746, prio, 110
[  873.170450] tgid, 1870, delta_vrun, 304, delta_rrun, 2835, prio, 110
[  873.315918] tgid, 1870, delta_vrun, 309, delta_rrun, 2885, prio, 110
[  873.927327] tgid, 1870, delta_vrun, 61491, delta_rrun, 573363, prio, 110
[  873.988935] tgid, 1870, delta_vrun, 26044, delta_rrun, 242847, prio, 110
[  874.029932] tgid, 1870, delta_vrun, 459, delta_rrun, 4289, prio, 110
[  874.481708] tgid, 1870, delta_vrun, 91, delta_rrun, 851, prio, 110
[  874.501210] tgid, 1870, delta_vrun, 1160, delta_rrun, 10820, prio, 110
[  874.561170] tgid, 1870, delta_vrun, 24624, delta_rrun, 229606, prio, 110
[  874.627513] tgid, 1870, delta_vrun, 51607, delta_rrun, 481199, prio, 110
[  874.815252] tgid, 1870, delta_vrun, 11151, delta_rrun, 103978, prio, 110
[  875.172010] tgid, 1870, delta_vrun, 95470, delta_rrun, 890186, prio, 110
[  875.306694] tgid, 1870, delta_vrun, 1974, delta_rrun, 18407, prio, 110
[  876.012647] tgid, 1870, delta_vrun, 46943, delta_rrun, 437715, prio, 110
[  876.063499] tgid, 1870, delta_vrun, 35118, delta_rrun, 327452, prio, 110
[  876.124581] tgid, 1870, delta_vrun, 49554, delta_rrun, 462056, prio, 110
[  876.206046] tgid, 1870, delta_vrun, 6347, delta_rrun, 59182, prio, 110
[  876.281280] tgid, 1870, delta_vrun, 455, delta_rrun, 4250, prio, 110
[  876.474781] tgid, 1870, delta_vrun, 27584, delta_rrun, 257200, prio, 110
[  876.485993] tgid, 1870, delta_vrun, 219, delta_rrun, 2045, prio, 110
[  876.494342] tgid, 1870, delta_vrun, 180, delta_rrun, 1686, prio, 110
[  876.528343] tgid, 1870, delta_vrun, 21364, delta_rrun, 199210, prio, 110
[  876.531969] tgid, 1870, delta_vrun, 648, delta_rrun, 6049, prio, 110
[  876.581663] tgid, 1870, delta_vrun, 17177, delta_rrun, 160169, prio, 110
[  876.725793] tgid, 1870, delta_vrun, 627, delta_rrun, 5847, prio, 110
[  876.876846] tgid, 1870, delta_vrun, 621, delta_rrun, 5794, prio, 110
[  876.945503] tgid, 1870, delta_vrun, 1046, delta_rrun, 9756, prio, 110
[  876.966296] tgid, 1870, delta_vrun, 275, delta_rrun, 2570, prio, 110
[  877.278289] tgid, 1870, delta_vrun, 241, delta_rrun, 2255, prio, 110
[  877.330887] tgid, 1870, delta_vrun, 88, delta_rrun, 826, prio, 110
[  877.546433] tgid, 1870, delta_vrun, 42010, delta_rrun, 391713, prio, 110
[  878.054538] tgid, 1870, delta_vrun, 21412, delta_rrun, 199653, prio, 110
[  878.101064] tgid, 1870, delta_vrun, 18843, delta_rrun, 175699, prio, 110
[  878.119526] tgid, 1870, delta_vrun, 14860, delta_rrun, 138563, prio, 110
[  878.123309] tgid, 1870, delta_vrun, 183, delta_rrun, 1712, prio, 110
[  878.227573] tgid, 1870, delta_vrun, 425, delta_rrun, 3970, prio, 110
[  878.569266] tgid, 1870, delta_vrun, 23504, delta_rrun, 219157, prio, 110
[  878.596083] tgid, 1870, delta_vrun, 284, delta_rrun, 2653, prio, 110
[  878.671643] tgid, 1870, delta_vrun, 28939, delta_rrun, 269836, prio, 110
[  878.748742] tgid, 1870, delta_vrun, 41015, delta_rrun, 382439, prio, 110
[  878.775946] tgid, 1870, delta_vrun, 16030, delta_rrun, 149470, prio, 110
[  878.802242] tgid, 1870, delta_vrun, 389, delta_rrun, 3633, prio, 110
[  878.836495] tgid, 1870, delta_vrun, 36405, delta_rrun, 339449, prio, 110
[  878.900322] tgid, 1870, delta_vrun, 13167, delta_rrun, 122776, prio, 110
[  878.903204] tgid, 1870, delta_vrun, 54217, delta_rrun, 505538, prio, 110
[  878.988419] tgid, 1870, delta_vrun, 623, delta_rrun, 5813, prio, 110
[  879.300405] tgid, 1870, delta_vrun, 61682, delta_rrun, 575145, prio, 110
[  879.576907] tgid, 1870, delta_vrun, 47444, delta_rrun, 442387, prio, 110
[  879.827385] tgid, 1870, delta_vrun, 491, delta_rrun, 4585, prio, 110
[  879.994722] tgid, 1870, delta_vrun, 243, delta_rrun, 2268, prio, 110
[  880.122441] tgid, 1870, delta_vrun, 11390, delta_rrun, 106206, prio, 110
[  880.429911] tgid, 1870, delta_vrun, 2817, delta_rrun, 26271, prio, 110
[  880.695209] tgid, 1870, delta_vrun, 56660, delta_rrun, 528319, prio, 110
[  880.800289] tgid, 1870, delta_vrun, 67412, delta_rrun, 628565, prio, 110
[  881.260697] tgid, 1870, delta_vrun, 11625, delta_rrun, 108395, prio, 110
[  881.529207] tgid, 1870, delta_vrun, 277, delta_rrun, 2586, prio, 110
[  881.546520] tgid, 1870, delta_vrun, 472, delta_rrun, 4410, prio, 110
[  881.623761] tgid, 1870, delta_vrun, 5344, delta_rrun, 49830, prio, 110
[  881.936441] tgid, 1870, delta_vrun, 37981, delta_rrun, 354148, prio, 110
[  882.169518] tgid, 1870, delta_vrun, 4057, delta_rrun, 37835, prio, 110
[  882.333122] tgid, 1870, delta_vrun, 546, delta_rrun, 5094, prio, 110
[  882.342708] tgid, 1870, delta_vrun, 6924, delta_rrun, 64566, prio, 110
[  882.904478] tgid, 1870, delta_vrun, 16478, delta_rrun, 153652, prio, 110
[  882.925882] tgid, 1870, delta_vrun, 407975, delta_rrun, 3804057, prio, 110
[  883.000866] tgid, 1870, delta_vrun, 7349, delta_rrun, 68527, prio, 110
